ticker,empresa,cd_cvm,setor,preco_data,valor_mercado_brl,liquidez_63d_brl,pl,pvpa,roe_ltm,roe_med5,div_liq_ebitda,cagr_receita,cagr_lucro,conversao_caixa,status,criterios_reprovados,criterios_nao_avaliados,ultima_demonstracao,dt_receb_ultimo_doc,link_doc,fontes
GMAT3,GRUPO MATEUS S.A.,25186,Emp. Adm. Part. - Comércio (Atacado e Varejo),2026-07-27,8795222241.42,22540608.317460317,5.08,0.80,16.24,15.16,0.28,24.73,24.66,1.24,APROVADA,,,2026-03-31,2026-05-14,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157460,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
RECV3,PETRORECÔNCAVO S.A.,25780,Emp. Adm. Part. - Petróleo e Gás,2026-07-27,3000093982.7200003,26097859.73015873,5.61,0.71,12.54,15.96,0.92,31.98,37.83,2.39,APROVADA,,,2026-03-31,2026-05-07,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156877,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
AERI3,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,"Máquinas, Equipamentos, Veículos e Peças",2026-07-27,125997969.19999999,84243.23809523809,prejuizo,nao_aplicavel,nao_aplicavel,dado_insuficiente,nao_aplicavel,-25.99,serie_nao_comparavel,nao_aplicavel,DADOS_INSUFICIENTES,P/L positivo e baixo; CAGR receita > 10%; Receita estável (sem queda >15%); Lucro positivo nos 5 anos; CFO positivo em >=4 dos 5 anos; FCF positivo em >=3 dos 5 anos; Liquidez >= R$5M/dia,P/VPA < 1; ROE mediano 5a > 12%; Dívida líq./EBITDA < 3; CAGR lucro > 10%,2026-03-31,2026-05-12,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157175,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
AGXY3,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,25658,Comércio (Atacado e Varejo),2026-07-27,,41321.857142857145,indisponivel,indisponivel,indisponivel,dado_insuficiente,indisponivel,dado_insuficiente,dado_insuficiente,indisponivel,DADOS_INSUFICIENTES,Receita estável (sem queda >15%); CFO positivo em >=4 dos 5 anos; FCF positivo em >=3 dos 5 anos; Liquidez >= R$5M/dia,P/VPA < 1; P/L positivo e baixo; ROE mediano 5a > 12%; Dívida líq./EBITDA < 3; CAGR receita > 10%; CAGR lucro > 10%; Lucro positivo nos 5 anos,2025-09-30,2025-11-14,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=153333,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
,ALARES INTERNET PARTICIPAÇÕES S/A,25194,Emp. Adm. Part. - Telecomunicações,,,,indisponivel,indisponivel,-25.77,-28.74,2.38,18.90,serie_nao_comparavel,nao_aplicavel,DADOS_INSUFICIENTES,ROE mediano 5a > 12%; Lucro positivo nos 5 anos; FCF positivo em >=3 dos 5 anos,P/VPA < 1; P/L positivo e baixo; CAGR lucro > 10%; Liquidez >= R$5M/dia,2026-03-31,2026-05-15,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157591,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
,ALGAR TELECOM S/A,21032,Telecomunicações,,,,indisponivel,indisponivel,-17.43,-14.06,3.03,3.16,serie_nao_comparavel,nao_aplicavel,DADOS_INSUFICIENTES,ROE mediano 5a > 12%; Dívida líq./EBITDA < 3; CAGR receita > 10%; Lucro positivo nos 5 anos,P/VPA < 1; P/L positivo e baixo; CAGR lucro > 10%; Liquidez >= R$5M/dia,2026-03-31,2026-05-13,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157326,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
"APTI3,APTI4",ALIPERTI S.A.,12823,"Emp. Adm. Part. - Agricultura (Açúcar, Álcool e Cana)",,,,indisponivel,indisponivel,4.20,7.13,-1.66,17.03,turnaround,1.12,DADOS_INSUFICIENTES,ROE mediano 5a > 12%; Receita estável (sem queda >15%); Lucro positivo nos 5 anos,P/VPA < 1; P/L positivo e baixo; CAGR lucro > 10%; Liquidez >= R$5M/dia,2026-03-31,2026-05-15,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157573,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
AALR3,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,Serviços Médicos,2026-07-27,490476443.94000006,161393.82539682538,indisponivel,0.46,indisponivel,dado_insuficiente,indisponivel,dado_insuficiente,dado_insuficiente,indisponivel,DADOS_INSUFICIENTES,CFO positivo em >=4 dos 5 anos; Liquidez >= R$5M/dia,P/L positivo e baixo; ROE mediano 5a > 12%; Dívida líq./EBITDA < 3; CAGR receita > 10%; CAGR lucro > 10%; Lucro positivo nos 5 anos,2025-09-30,2025-11-14,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=153262,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
,ALMACENES ÉXITO S.A.,80225,,,,,indisponivel,indisponivel,indisponivel,dado_insuficiente,indisponivel,dado_insuficiente,dado_insuficiente,indisponivel,DADOS_INSUFICIENTES,,P/VPA < 1; P/L positivo e baixo; ROE mediano 5a > 12%; Dívida líq./EBITDA < 3; CAGR receita > 10%; CAGR lucro > 10%; Lucro positivo nos 5 anos; Liquidez >= R$5M/dia,2025-03-31,2025-05-14,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=147714,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
,ALUBAR METAIS E CABOS S.A.,27430,Metalurgia e Siderurgia,,,,indisponivel,indisponivel,23.37,dado_insuficiente,0.66,dado_insuficiente,dado_insuficiente,2.37,DADOS_INSUFICIENTES,Receita estável (sem queda >15%); CFO positivo em >=4 dos 5 anos; FCF positivo em >=3 dos 5 anos,P/VPA < 1; P/L positivo e baixo; ROE mediano 5a > 12%; CAGR receita > 10%; CAGR lucro > 10%; Lucro positivo nos 5 anos; Liquidez >= R$5M/dia,2026-03-31,2026-05-14,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157487,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
